uf50-0414 0 0 30175 31519 -1 2 3 -4 -5 -6 -7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 -24 25 26 27 -28 -29 30 31 32 33 34 35 -36 37 38 39 40 41 42 43 44 45 46 -47 48 49 50
uf50-0430 0 0 0 22955 1 -2 -3 4 -5 6 -7 -8 9 10 -11 12 13 14 15 -16 17 18 -19 -20 21 22 23 24 25 26 27 28 29 -30 -31 32 -33 34 35 -36 -37 -38 -39 -40 -41 42 43 44 45 -46 47 48 49 -50
uf50-0434 0 0 0 17304 -1 -2 3 -4 5 6 7 -8 9 -10 11 -12 13 14 15 16 -17 -18 -19 20 21 -22 23 -24 25 -26 -27 -28 29 30 31 32 -33 34 -35 -36 -37 -38 39 40 -41 -42 43 44 45 46 -47 -48 49 -50
uf50-0441 0 0 22564 22625 1 -2 -3 4 -5 -6 7 8 -9 -10 11 -12 13 14 15 -16 17 18 19 20 21 22 23 24 25 26 -27 28 29 -30 31 -32 -33 -34 35 -36 37 38 39 -40 41 -42 43 44 45 46 47 -48 -49 50
uf50-0452 0 0 0 25381 -1 2 3 4 -5 6 7 8 9 10 -11 12 -13 14 15 16 17 -18 19 20 21 -22 23 -24 25 26 27 28 29 30 -31 32 33 34 -35 36 -37 -38 -39 -40 41 42 43 -44 45 -46 47 48 -49 50
uf50-0470 0 0 0 20037 -1 2 -3 -4 5 -6 -7 8 -9 10 11 12 -13 -14 -15 -16 17 18 19 -20 21 22 -23 -24 -25 -26 27 -28 29 30 -31 -32 -33 34 -35 36 -37 38 39 40 41 -42 43 44 45 46 -47 48 49 50
uf50-0485 0 0 0 22527 1 -2 -3 4 5 -6 -7 8 -9 -10 11 12 13 14 -15 -16 17 18 19 20 21 22 23 24 25 -26 -27 28 29 30 31 32 -33 -34 -35 36 -37 38 39 40 41 42 -43 44 45 -46 -47 48 49 -50
uf50-0613 0 0 28324 28324 -1 -2 -3 4 5 6 -7 8 9 -10 11 12 -13 14 15 16 17 -18 -19 20 21 -22 -23 24 25 26 27 28 29 30 31 -32 -33 -34 -35 -36 37 -38 39 -40 -41 -42 43 44 -45 46 47 48 -49 -50
uf50-0620 0 0 35091 35091 1 2 3 4 5 6 -7 8 -9 -10 11 12 -13 14 -15 -16 -17 18 -19 20 21 -22 23 24 25 26 27 -28 29 30 31 -32 33 34 35 36 37 38 -39 40 41 42 -43 44 -45 46 47 48 -49 -50
uf50-0642 0 0 0 34166 -1 2 3 4 5 6 -7 -8 9 -10 11 12 13 14 15 -16 17 18 19 20 21 22 -23 24 -25 -26 27 28 29 30 31 -32 33 34 35 36 37 -38 39 40 -41 42 -43 -44 45 -46 47 -48 49 -50
uf50-0655 0 0 0 34740 -1 -2 -3 -4 5 6 7 8 9 -10 11 12 13 14 15 16 17 -18 -19 -20 21 22 23 24 -25 26 27 -28 -29 30 31 32 33 -34 35 36 37 38 39 40 41 42 43 44 -45 -46 -47 48 49 -50
uf50-0665 0 0 35673 36093 -1 -2 3 -4 5 6 7 -8 -9 10 11 12 13 14 15 -16 17 18 19 20 21 -22 -23 24 25 26 -27 28 29 -30 31 32 33 34 35 -36 37 38 39 -40 41 42 -43 44 45 46 47 48 49 -50
uf50-0672 0 0 0 42657 1 2 3 4 5 6 7 -8 9 -10 11 12 13 14 15 -16 17 18 -19 -20 21 22 23 24 -25 26 27 28 29 30 -31 32 33 34 35 36 -37 -38 39 -40 41 42 -43 44 45 46 47 48 49 50
uf50-0768 0 0 0 26210 -1 2 -3 4 -5 6 7 -8 9 10 -11 -12 13 -14 -15 -16 17 -18 19 -20 21 22 23 -24 -25 -26 27 28 -29 30 31 -32 -33 34 -35 36 37 38 -39 -40 41 42 43 -44 45 -46 47 48 -49 50
uf50-0821 0 0 0 0 1 -2 3 -4 5 -6 -7 -8 -9 10 11 12 13 -14 15 -16 -17 18 19 -20 21 -22 -23 -24 -25 26 -27 -28 29 -30 31 32 -33 34 35 -36 37 -38 39 -40 -41 -42 -43 -44 -45 46 -47 48 -49 -50
uf50-0832 0 0 0 14960 -1 -2 3 4 5 6 -7 8 9 10 -11 12 13 -14 15 16 17 18 19 20 -21 -22 23 24 25 -26 27 28 29 30 31 32 33 -34 35 36 37 -38 39 -40 41 -42 43 44 45 46 47 48 49 50
uf50-0863 0 0 0 11211 1 -2 -3 -4 5 -6 7 8 9 -10 11 12 13 -14 15 -16 -17 18 19 -20 21 22 -23 -24 25 26 27 28 29 30 -31 32 33 -34 -35 36 37 38 39 40 -41 42 43 44 -45 -46 47 48 -49 -50
uf50-0879 0 0 14743 14743 1 2 3 -4 5 6 -7 8 9 10 -11 12 -13 14 -15 16 17 18 19 20 21 -22 -23 24 25 -26 -27 28 29 30 31 -32 33 34 35 -36 37 -38 39 40 41 -42 43 -44 -45 46 47 48 49 50
uf50-0882 0 0 0 17496 -1 2 -3 4 -5 -6 7 -8 9 10 11 -12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 -29 30 -31 32 33 34 -35 36 37 38 39 40 -41 -42 43 44 45 46 47 48 49 50
uf50-0897 0 0 14885 14885 -1 2 3 -4 5 6 -7 -8 9 10 -11 -12 -13 14 15 16 -17 18 19 20 21 -22 23 24 25 26 -27 28 29 30 -31 32 -33 34 -35 36 37 38 39 40 41 -42 -43 44 45 46 47 48 49 50
uf50-0920 0 0 17168 17168 1 2 -3 4 5 -6 7 8 -9 -10 -11 12 13 14 -15 16 17 -18 -19 20 21 22 23 24 25 26 27 28 29 30 31 -32 -33 34 35 36 37 38 39 40 -41 42 43 44 -45 46 47 48 49 50
uf50-0954 0 0 0 13731 1 2 -3 4 -5 -6 7 8 9 10 11 -12 -13 14 15 16 17 -18 -19 20 -21 22 -23 24 25 26 27 -28 29 30 31 32 33 34 -35 36 37 -38 39 40 -41 -42 -43 44 45 46 -47 48 49 50
uf50-0957 0 0 0 0 1 2 3 -4 5 6 -7 8 -9 10 11 -12 -13 -14 15 16 17 -18 -19 -20 21 -22 -23 -24 -25 26 27 28 29 -30 31 -32 33 -34 35 -36 -37 38 -39 40 -41 42 43 -44 45 -46 47 48 49 -50
uf50-0987 0 0 13570 13570 -1 2 -3 4 -5 6 -7 8 9 -10 -11 -12 13 14 15 -16 17 -18 19 -20 21 22 23 24 25 26 27 -28 29 30 31 32 -33 -34 35 36 -37 38 -39 40 41 -42 43 -44 45 46 47 48 49 50
